BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,NUMBER OF SALES,MINIMUM SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,MAXIMUM SALE PRICE,
MANHATTAN,ALPHABET CITY,01-ONE FAMILY DWELLINGS,1,"2,385,000","2,385,000","2,385,000","2,385,000",
MANHATTAN,ALPHABET CITY,02-TWO FAMILY DWELLINGS,1,"3,025,000","3,025,000","3,025,000","3,025,000",
MANHATTAN,CHELSEA,01-ONE FAMILY DWELLINGS,6,"5,900,000","11,062,500","9,112,500","22,500,000",
MANHATTAN,CHELSEA,02-TWO FAMILY DWELLINGS,2,"4,395,000","8,447,500","8,447,500","12,500,000",
MANHATTAN,CHELSEA,03-THREE FAMILY DWELLINGS,3,"3,550,000","5,233,333","5,350,000","6,800,000",
MANHATTAN,CLINTON,02-TWO FAMILY DWELLINGS,1,"5,700,000","5,700,000","5,700,000","5,700,000",
MANHATTAN,EAST VILLAGE,02-TWO FAMILY DWELLINGS,4,"4,025,000","6,779,688","6,550,000","9,993,750",
MANHATTAN,EAST VILLAGE,03-THREE FAMILY DWELLINGS,2,"3,600,000","5,947,500","5,947,500","8,295,000",
MANHATTAN,GRAMERCY,02-TWO FAMILY DWELLINGS,1,"3,500,000","3,500,000","3,500,000","3,500,000",
MANHATTAN,GRAMERCY,03-THREE FAMILY DWELLINGS,1,"4,500,000","4,500,000","4,500,000","4,500,000",
MANHATTAN,GREENWICH VILLAGE-CENTRAL,01-ONE FAMILY DWELLINGS,8,"4,800,000","16,787,500","16,800,000","29,500,000",
MANHATTAN,GREENWICH VILLAGE-CENTRAL,02-TWO FAMILY DWELLINGS,1,"3,500,000","3,500,000","3,500,000","3,500,000",
MANHATTAN,GREENWICH VILLAGE-WEST,01-ONE FAMILY DWELLINGS,34,"487,980","10,244,426","8,695,000","27,270,000",
MANHATTAN,GREENWICH VILLAGE-WEST,02-TWO FAMILY DWELLINGS,12,"4,200,000","9,235,417","8,425,000","19,750,000",
MANHATTAN,GREENWICH VILLAGE-WEST,03-THREE FAMILY DWELLINGS,5,"6,066,000","10,045,200","9,310,000","16,000,000",
MANHATTAN,HARLEM-CENTRAL,01-ONE FAMILY DWELLINGS,10,"304,200","2,477,420","2,887,500","3,900,000",
MANHATTAN,HARLEM-CENTRAL,02-TWO FAMILY DWELLINGS,18,"1,650,000","2,664,527","2,462,500","4,025,000",
MANHATTAN,HARLEM-CENTRAL,03-THREE FAMILY DWELLINGS,16,"1,470,000","2,249,245","2,300,000","3,345,000",
MANHATTAN,HARLEM-EAST,02-TWO FAMILY DWELLINGS,2,"500,000","982,500","982,500","1,465,000",
MANHATTAN,HARLEM-EAST,03-THREE FAMILY DWELLINGS,5,"1,850,000","2,069,000","1,995,000","2,500,000",
MANHATTAN,HARLEM-UPPER,01-ONE FAMILY DWELLINGS,1,"3,150,000","3,150,000","3,150,000","3,150,000",
MANHATTAN,HARLEM-UPPER,02-TWO FAMILY DWELLINGS,2,"1,200,000","1,700,000","1,700,000","2,200,000",
MANHATTAN,HARLEM-UPPER,03-THREE FAMILY DWELLINGS,3,"1,539,374","2,233,125","2,320,000","2,840,000",
MANHATTAN,INWOOD,01-ONE FAMILY DWELLINGS,2,"850,000","895,000","895,000","940,000",
MANHATTAN,INWOOD,02-TWO FAMILY DWELLINGS,5,"420,000","1,124,400","1,222,000","1,690,000",
MANHATTAN,KIPS BAY,01-ONE FAMILY DWELLINGS,1,"665,000","665,000","665,000","665,000",
MANHATTAN,KIPS BAY,02-TWO FAMILY DWELLINGS,2,"360,000","3,293,030","3,293,030","6,226,060",
MANHATTAN,LITTLE ITALY,02-TWO FAMILY DWELLINGS,1,"1,800,000","1,800,000","1,800,000","1,800,000",
MANHATTAN,LOWER EAST SIDE,01-ONE FAMILY DWELLINGS,1,"7,500,000","7,500,000","7,500,000","7,500,000",
MANHATTAN,MANHATTAN VALLEY,01-ONE FAMILY DWELLINGS,2,"2,500,000","3,080,625","3,080,625","3,661,250",
MANHATTAN,MANHATTAN VALLEY,02-TWO FAMILY DWELLINGS,1,"3,270,000","3,270,000","3,270,000","3,270,000",
MANHATTAN,MANHATTAN VALLEY,03-THREE FAMILY DWELLINGS,1,"2,890,000","2,890,000","2,890,000","2,890,000",
MANHATTAN,MIDTOWN EAST,01-ONE FAMILY DWELLINGS,6,"3,825,000","6,344,667","6,571,500","8,600,000",
MANHATTAN,MIDTOWN EAST,02-TWO FAMILY DWELLINGS,1,"5,600,000","5,600,000","5,600,000","5,600,000",
MANHATTAN,MIDTOWN WEST,02-TWO FAMILY DWELLINGS,1,"3,500,000","3,500,000","3,500,000","3,500,000",
MANHATTAN,MURRAY HILL,01-ONE FAMILY DWELLINGS,4,"2,100,000","5,700,000","5,850,000","9,000,000",
MANHATTAN,MURRAY HILL,02-TWO FAMILY DWELLINGS,4,"2,900,000","4,200,025","3,950,050","6,000,000",
MANHATTAN,MURRAY HILL,03-THREE FAMILY DWELLINGS,2,"3,575,000","3,987,500","3,987,500","4,400,000",
MANHATTAN,SOHO,01-ONE FAMILY DWELLINGS,2,"8,700,000","10,250,000","10,250,000","11,800,000",
MANHATTAN,TRIBECA,01-ONE FAMILY DWELLINGS,1,"5,150,000","5,150,000","5,150,000","5,150,000",
MANHATTAN,UPPER EAST SIDE (59-79),01-ONE FAMILY DWELLINGS,25,"855,000","13,477,090","8,750,000","59,000,000",
MANHATTAN,UPPER EAST SIDE (59-79),02-TWO FAMILY DWELLINGS,6,"1,300,000","14,216,667","7,900,000","53,500,000",
MANHATTAN,UPPER EAST SIDE (59-79),03-THREE FAMILY DWELLINGS,1,"5,350,000","5,350,000","5,350,000","5,350,000",
