BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,NUMBER OF SALES,MINIMUM SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,MAXIMUM SALE PRICE,,
QUEENS,AIRPORT LA GUARDIA,01-ONE FAMILY DWELLINGS,4,"800,000","875,000","875,000","950,000",,
QUEENS,AIRPORT LA GUARDIA,02-TWO FAMILY DWELLINGS,1,"805,000","805,000","805,000","805,000",,
QUEENS,ARVERNE,01-ONE FAMILY DWELLINGS,27,"205,000","427,679","441,000","735,000",,
QUEENS,ARVERNE,02-TWO FAMILY DWELLINGS,85,"260,925","655,912","662,500","1,200,000",,
QUEENS,ARVERNE,03-THREE FAMILY DWELLINGS,5,"532,365","632,473","645,000","700,000",,
QUEENS,ASTORIA,01-ONE FAMILY DWELLINGS,66,"400,000","1,019,123","965,000","1,700,000",,
QUEENS,ASTORIA,02-TWO FAMILY DWELLINGS,145,"220,000","1,222,735","1,200,000","2,900,000",,
QUEENS,ASTORIA,03-THREE FAMILY DWELLINGS,57,"300,000","1,312,987","1,365,000","1,817,500",,
QUEENS,BAYSIDE,01-ONE FAMILY DWELLINGS,392,"220,000","963,879","902,750","2,460,000",,
QUEENS,BAYSIDE,02-TWO FAMILY DWELLINGS,115,"200,000","1,223,084","1,297,000","1,955,040",,
QUEENS,BAYSIDE,03-THREE FAMILY DWELLINGS,21,"200,000","1,270,161","1,330,000","1,825,000",,
QUEENS,BEECHHURST,01-ONE FAMILY DWELLINGS,65,"200,000","1,099,095","999,999","2,630,000",,
QUEENS,BEECHHURST,02-TWO FAMILY DWELLINGS,7,"1,130,000","1,236,429","1,235,000","1,380,000",,
QUEENS,BELLE HARBOR,01-ONE FAMILY DWELLINGS,38,"400,000","1,039,355","989,000","1,720,000",,
QUEENS,BELLE HARBOR,02-TWO FAMILY DWELLINGS,24,"677,250","1,111,459","992,000","1,883,763",,
QUEENS,BELLE HARBOR,03-THREE FAMILY DWELLINGS,2,"1,150,000","1,150,000","1,150,000","1,150,000",,
QUEENS,BELLEROSE,01-ONE FAMILY DWELLINGS,137,"224,000","684,842","675,000","1,238,000",,
QUEENS,BELLEROSE,02-TWO FAMILY DWELLINGS,29,"362,500","776,569","751,000","1,348,000",,
QUEENS,BELLEROSE,03-THREE FAMILY DWELLINGS,4,"976,000","987,250","987,500","998,000",,
QUEENS,BREEZY POINT,01-ONE FAMILY DWELLINGS,78,"200,000","655,367","625,000","1,250,000",,
QUEENS,BRIARWOOD,01-ONE FAMILY DWELLINGS,29,"560,000","773,948","750,000","1,050,000",,
QUEENS,BRIARWOOD,02-TWO FAMILY DWELLINGS,6,"600,000","961,750","1,007,750","1,145,000",,
QUEENS,BRIARWOOD,03-THREE FAMILY DWELLINGS,6,"969,000","1,139,333","992,500","1,545,000",,
QUEENS,BROAD CHANNEL,01-ONE FAMILY DWELLINGS,31,"215,000","424,468","400,000","690,000",,
QUEENS,BROAD CHANNEL,02-TWO FAMILY DWELLINGS,4,"334,500","496,125","500,000","650,000",,
QUEENS,CAMBRIA HEIGHTS,01-ONE FAMILY DWELLINGS,104,"200,000","561,066","582,500","998,000",,
QUEENS,CAMBRIA HEIGHTS,02-TWO FAMILY DWELLINGS,7,"427,500","613,929","620,000","890,000",,
QUEENS,COLLEGE POINT,01-ONE FAMILY DWELLINGS,79,"207,552","766,232","728,000","1,800,000",,
QUEENS,COLLEGE POINT,02-TWO FAMILY DWELLINGS,102,"350,000","996,700","980,000","1,600,000",,
QUEENS,COLLEGE POINT,03-THREE FAMILY DWELLINGS,15,"384,000","1,094,982","1,000,000","1,720,000",,
QUEENS,CORONA,01-ONE FAMILY DWELLINGS,22,"480,000","725,155","749,000","985,000",,
QUEENS,CORONA,02-TWO FAMILY DWELLINGS,74,"355,000","1,041,674","992,500","1,950,000",,
QUEENS,CORONA,03-THREE FAMILY DWELLINGS,60,"240,000","1,145,026","1,225,900","1,771,755",,
QUEENS,DOUGLASTON,01-ONE FAMILY DWELLINGS,99,"440,000","1,110,767","995,000","2,850,000",,
QUEENS,DOUGLASTON,02-TWO FAMILY DWELLINGS,12,"705,000","1,113,292","1,127,500","1,468,500",,
QUEENS,EAST ELMHURST,01-ONE FAMILY DWELLINGS,37,"400,000","712,199","700,000","1,030,000",,
QUEENS,EAST ELMHURST,02-TWO FAMILY DWELLINGS,40,"330,000","1,003,722","992,500","1,476,463",,
QUEENS,EAST ELMHURST,03-THREE FAMILY DWELLINGS,12,"710,000","1,148,417","1,181,500","1,580,000",,
QUEENS,ELMHURST,01-ONE FAMILY DWELLINGS,66,"350,000","835,022","846,500","1,500,000",,
